solar
0.0
0.0
5.95
16.5
26.5
34.25
38.6
39.7
37.15
30.65
21.85
9.95
1.8
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
6.0
1.35
10.45
10.95
14.75
4.0
25.4
31.2
22.4
11.95
2.1
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
6.2
16.95
27.05
34.8
37.6
38.7
36.2
30.3
21.7
11.35
1.1
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.45
8.95
11.4
32.95
36.6
38.1
35.65
28.75
20.3
10.3
1.15
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
1.8
15.9
8.2
16.1
37.55
38.7
7.15
2.85
9.1
11.3
1.7
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.45
1.3
8.65
33.8
5.9
11.15
7.85
5.05
9.05
3.5
0.65
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
2.3
15.85
26.0
34.05
36.75
22.5
27.1
30.1
21.6
11.45
1.9
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
